Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Nthreads,Order,Original size,Preprocs,Query,Ratio
Memcpy,37056417280,5020.41,msrc_split,7390.56,300 files,-1,0,8,1,f,37056417280,None,0,100.0
SIMDBP128,11129771792,7969.71,msrc_split,14763.77,300 files,-1,0,8,1,f,73920850560,None,0,15.06
Simple8B,5134901224,3234.95,msrc_split,6863.9,300 files,-1,0,8,1,f,34420445440,None,0,14.92
Memcpy,74979726400,4925.36,msrc_split,7481.18,300 files,-1,0,8,2,f,74979726400,None,0,100.0
SIMDBP128,24232349376,7678.2,msrc_split,16075.63,300 files,-1,0,8,2,f,160982218240,None,0,15.05
Simple8B,11045337312,3194.98,msrc_split,7362.86,300 files,-1,0,8,2,f,73981133440,None,0,14.93
Memcpy,112438145920,4798.97,msrc_split,7449.86,300 files,-1,0,8,3,f,112438145920,None,0,100.0
SIMDBP128,34863465440,7732.42,msrc_split,15406.76,300 files,-1,0,8,3,f,231562081280,None,0,15.06
Simple8B,15244082392,3154.27,msrc_split,6787.56,300 files,-1,0,8,3,f,102138423360,None,0,14.92
Memcpy,153065978560,4992.85,msrc_split,7596.69,300 files,-1,0,8,4,f,153065978560,None,0,100.0
SIMDBP128,48032050512,8157.08,msrc_split,15891.41,300 files,-1,0,8,4,f,318990549440,None,0,15.06
Simple8B,20404044160,3203.41,msrc_split,6792.34,300 files,-1,0,8,4,f,136697454720,None,0,14.93
Memcpy,181185031360,4069.24,msrc_split,7173.44,300 files,-1,0,8,5,f,181185031360,None,0,100.0
SIMDBP128,56209474592,7779.22,msrc_split,14897.62,300 files,-1,0,8,5,f,373289023680,None,0,15.06
Simple8B,25588410712,3455.9,msrc_split,6777.18,300 files,-1,0,8,5,f,171453555520,None,0,14.92
Memcpy,218128666560,5002.8,msrc_split,7234.56,300 files,-1,0,8,6,f,218128666560,None,0,100.0
SIMDBP128,70307472816,7923.35,msrc_split,15503.91,300 files,-1,0,8,6,f,466890048000,None,0,15.06
Simple8B,31698929200,3185.52,msrc_split,7006.12,300 files,-1,0,8,6,f,212487931200,None,0,14.92
Memcpy,260768902720,4815.38,msrc_split,7367.57,300 files,-1,0,8,7,f,260768902720,None,0,100.0
SIMDBP128,82246118432,7712.8,msrc_split,15537.71,300 files,-1,0,8,7,f,546229382400,None,0,15.06
Simple8B,36417450352,3398.21,msrc_split,6896.93,300 files,-1,0,8,7,f,244052202880,None,0,14.92
Memcpy,295285039360,4793.42,msrc_split,7264.52,300 files,-1,0,8,8,f,295285039360,None,0,100.0
SIMDBP128,91290316944,8191.67,msrc_split,15045.99,300 files,-1,0,8,8,f,606306689920,None,0,15.06
Simple8B,41188950688,3392.84,msrc_split,6816.6,300 files,-1,0,8,8,f,276053858240,None,0,14.92
Memcpy,332148912960,4688.67,msrc_split,7276.81,300 files,-1,0,8,9,f,332148912960,None,0,100.0
SIMDBP128,104229651056,7428.64,msrc_split,15302.11,300 files,-1,0,8,9,f,692255703680,None,0,15.06
Simple8B,47262345928,3208.7,msrc_split,6919.72,300 files,-1,0,8,9,f,316712505280,None,0,14.92
Memcpy,388239805120,4901.45,msrc_split,7575.68,300 files,-1,0,8,10,f,388239805120,None,0,100.0
SIMDBP128,124463519952,7941.98,msrc_split,16449.82,300 files,-1,0,8,10,f,826659266880,None,0,15.06
Simple8B,56051913000,3218.81,msrc_split,7446.23,300 files,-1,0,8,10,f,375539240960,None,0,14.93
Memcpy,430738526080,5011.72,msrc_split,7746.54,300 files,-1,0,8,11,f,430738526080,None,0,100.0
SIMDBP128,136169581008,8219.43,msrc_split,16292.25,300 files,-1,0,8,11,f,904390192320,None,0,15.06
Simple8B,63699698184,3233.33,msrc_split,7586.98,300 files,-1,0,8,11,f,426807757760,None,0,14.92
