Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Order,Original size,Preprocs,Ratio
SprintzDelta -23,6479593,523.48,ampd_power,2623.74,/rowmajor/uint8/ampd_power/ampd_power.dat,-1,0,8,c,24177600,None,26.8
SprintzXff -23,6522704,338.56,ampd_power,2424.36,/rowmajor/uint8/ampd_power/ampd_power.dat,-1,0,8,c,24177600,None,26.98
SprintzDelta_Huf -23,4336145,354.66,ampd_power,1013.0,/rowmajor/uint8/ampd_power/ampd_power.dat,-1,0,8,c,24177600,None,17.93
SprintzXff_Huf -23,4518030,262.38,ampd_power,965.64,/rowmajor/uint8/ampd_power/ampd_power.dat,-1,0,8,c,24177600,None,18.69
SprintzDelta -2,638056,649.02,ampd_water,1960.19,/rowmajor/uint8/ampd_water/ampd_water.dat,-1,0,8,c,6307220,None,10.12
SprintzXff -2,642686,419.89,ampd_water,592.9,/rowmajor/uint8/ampd_water/ampd_water.dat,-1,0,8,c,6307220,None,10.19
SprintzDelta_Huf -2,399262,502.76,ampd_water,747.11,/rowmajor/uint8/ampd_water/ampd_water.dat,-1,0,8,c,6307220,None,6.33
SprintzXff_Huf -2,432958,308.38,ampd_water,392.8,/rowmajor/uint8/ampd_water/ampd_water.dat,-1,0,8,c,6307220,None,6.86
SprintzDelta -3,461234,599.74,ampd_gas,2036.52,/rowmajor/uint8/ampd_gas/ampd_gas.dat,-1,0,8,c,6307215,None,7.31
SprintzXff -3,477872,432.15,ampd_gas,1011.89,/rowmajor/uint8/ampd_gas/ampd_gas.dat,-1,0,8,c,6307215,None,7.58
SprintzDelta_Huf -3,139870,554.27,ampd_gas,1710.6,/rowmajor/uint8/ampd_gas/ampd_gas.dat,-1,0,8,c,6307215,None,2.22
SprintzXff_Huf -3,233259,335.8,ampd_gas,844.87,/rowmajor/uint8/ampd_gas/ampd_gas.dat,-1,0,8,c,6307215,None,3.7
SprintzDelta -18,32364178,448.22,uci_gas,2297.56,/rowmajor/uint8/uci_gas/uci_gas.dat,-1,0,8,c,150961860,None,21.44
SprintzXff -18,32831154,319.07,uci_gas,1891.76,/rowmajor/uint8/uci_gas/uci_gas.dat,-1,0,8,c,150961860,None,21.75
SprintzDelta_Huf -18,22462720,352.92,uci_gas,1213.77,/rowmajor/uint8/uci_gas/uci_gas.dat,-1,0,8,c,150961860,None,14.88
SprintzXff_Huf -18,22099539,283.06,uci_gas,980.65,/rowmajor/uint8/uci_gas/uci_gas.dat,-1,0,8,c,150961860,None,14.64
SprintzDelta -31,17267248,492.38,pamap,3304.85,/rowmajor/uint8/pamap/pamap.dat,-1,0,8,c,96957832,None,17.81
SprintzXff -31,17755641,335.98,pamap,2752.49,/rowmajor/uint8/pamap/pamap.dat,-1,0,8,c,96957832,None,18.31
SprintzDelta_Huf -31,11540238,392.66,pamap,1403.05,/rowmajor/uint8/pamap/pamap.dat,-1,0,8,c,96957832,None,11.9
SprintzXff_Huf -31,12130647,291.41,pamap,1321.45,/rowmajor/uint8/pamap/pamap.dat,-1,0,8,c,96957832,None,12.51
SprintzDelta -80,11996784,585.19,msrc,2976.21,/rowmajor/uint8/msrc/msrc.dat,-1,0,8,c,56806640,None,21.12
SprintzXff -80,12288696,382.56,msrc,2827.37,/rowmajor/uint8/msrc/msrc.dat,-1,0,8,c,56806640,None,21.63
SprintzDelta_Huf -80,9478189,453.27,msrc,1400.15,/rowmajor/uint8/msrc/msrc.dat,-1,0,8,c,56806640,None,16.69
SprintzXff_Huf -80,9817210,324.79,msrc,1044.6,/rowmajor/uint8/msrc/msrc.dat,-1,0,8,c,56806640,None,17.28
SIMDBP128,10737088,10414.47,ampd_power,9463.92,/colmajor/uint8-as-uint32/ampd_power/ampd_power.dat,-1,0,8,f,96710400,None,11.1
FastPFOR,9956172,1776.86,ampd_power,8769.79,/colmajor/uint8-as-uint32/ampd_power/ampd_power.dat,-1,0,8,f,96710400,None,10.29
Simple8B,9961428,4073.27,ampd_power,8547.8,/colmajor/uint8-as-uint32/ampd_power/ampd_power.dat,-1,0,8,f,96710400,None,10.3
SIMDBP128,3158148,10165.62,ampd_water,10936.67,/colmajor/uint8-as-uint32/ampd_water/ampd_water.dat,-1,0,8,f,25228880,None,12.52
FastPFOR,2384624,1388.52,ampd_water,6077.09,/colmajor/uint8-as-uint32/ampd_water/ampd_water.dat,-1,0,8,f,25228880,None,9.45
Simple8B,2894932,3685.5,ampd_water,5957.8,/colmajor/uint8-as-uint32/ampd_water/ampd_water.dat,-1,0,8,f,25228880,None,11.47
SIMDBP128,2358400,11520.71,ampd_gas,11209.89,/colmajor/uint8-as-uint32/ampd_gas/ampd_gas.dat,-1,0,8,f,25228860,None,9.35
FastPFOR,1713756,1730.41,ampd_gas,12181.65,/colmajor/uint8-as-uint32/ampd_gas/ampd_gas.dat,-1,0,8,f,25228860,None,6.79
