Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Deltas,Filename,Memlimit,MinIters,Nbits,Order,Original size,Ratio
SprintzXff_Huf_16b -40,45416245,537.8,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=8.dat,1309.5,False,/synthetic/synth_100M_u16_ratio=8.dat,-1,10,16,c,200000000,22.71
SprintzXff_Huf_16b -41,46091019,542.33,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=8.dat,1300.12,False,/synthetic/synth_100M_u16_ratio=8.dat,-1,10,16,c,200000000,23.05
SprintzXff_Huf_16b -42,46601168,549.71,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=8.dat,1273.82,False,/synthetic/synth_100M_u16_ratio=8.dat,-1,10,16,c,200000000,23.3
SprintzXff_Huf_16b -43,46194577,542.2,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=8.dat,1296.65,False,/synthetic/synth_100M_u16_ratio=8.dat,-1,10,16,c,200000000,23.1
SprintzXff_Huf_16b -44,45636722,528.91,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=8.dat,1303.79,False,/synthetic/synth_100M_u16_ratio=8.dat,-1,10,16,c,200000000,22.82
SprintzXff_Huf_16b -45,46613198,540.75,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=8.dat,1298.47,False,/synthetic/synth_100M_u16_ratio=8.dat,-1,10,16,c,200000000,23.31
SprintzXff_Huf_16b -46,46293576,542.04,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=8.dat,1290.2,False,/synthetic/synth_100M_u16_ratio=8.dat,-1,10,16,c,200000000,23.15
SprintzXff_Huf_16b -47,46108915,552.16,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=8.dat,1307.67,False,/synthetic/synth_100M_u16_ratio=8.dat,-1,10,16,c,200000000,23.05
SprintzXff_Huf_16b -48,45868309,548.79,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=8.dat,1337.38,False,/synthetic/synth_100M_u16_ratio=8.dat,-1,10,16,c,200000000,22.93
SprintzXff_Huf_16b -49,45760555,537.7,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=8.dat,1249.87,False,/synthetic/synth_100M_u16_ratio=8.dat,-1,10,16,c,200000000,22.88
SprintzXff_Huf_16b -50,45639770,541.84,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=8.dat,1266.77,False,/synthetic/synth_100M_u16_ratio=8.dat,-1,10,16,c,200000000,22.82
SprintzXff_Huf_16b -51,45650343,546.11,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=8.dat,1268.38,False,/synthetic/synth_100M_u16_ratio=8.dat,-1,10,16,c,200000000,22.83
SprintzXff_Huf_16b -52,45697686,540.92,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=8.dat,1294.31,False,/synthetic/synth_100M_u16_ratio=8.dat,-1,10,16,c,200000000,22.85
SprintzXff_Huf_16b -53,45835280,537.79,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=8.dat,1274.86,False,/synthetic/synth_100M_u16_ratio=8.dat,-1,10,16,c,200000000,22.92
SprintzXff_Huf_16b -54,46008957,536.18,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=8.dat,1295.44,False,/synthetic/synth_100M_u16_ratio=8.dat,-1,10,16,c,200000000,23.0
SprintzXff_Huf_16b -55,46222119,539.39,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=8.dat,1291.89,False,/synthetic/synth_100M_u16_ratio=8.dat,-1,10,16,c,200000000,23.11
SprintzXff_Huf_16b -56,46477790,543.27,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=8.dat,1300.29,False,/synthetic/synth_100M_u16_ratio=8.dat,-1,10,16,c,200000000,23.24
SprintzXff_Huf_16b -57,46779177,541.22,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=8.dat,1261.02,False,/synthetic/synth_100M_u16_ratio=8.dat,-1,10,16,c,200000000,23.39
SprintzXff_Huf_16b -58,45502473,548.34,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=8.dat,1300.86,False,/synthetic/synth_100M_u16_ratio=8.dat,-1,10,16,c,200000000,22.75
SprintzXff_Huf_16b -59,45979679,541.12,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=8.dat,1280.74,False,/synthetic/synth_100M_u16_ratio=8.dat,-1,10,16,c,200000000,22.99
SprintzXff_Huf_16b -60,46448839,549.38,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=8.dat,1284.23,False,/synthetic/synth_100M_u16_ratio=8.dat,-1,10,16,c,200000000,23.22
