Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Order,Original size,Preprocs,Ratio
Memcpy,100000000,8831.88,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=1.dat,8602.8,/synthetic/synth_100M_u8_ratio=1.dat,-1,10,8,c,100000000,None,100.0
Delta -20,100000006,5329.75,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=1.dat,6256.57,/synthetic/synth_100M_u8_ratio=1.dat,-1,10,8,c,100000000,None,100.0
Delta -21,100000006,4287.62,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=1.dat,6032.56,/synthetic/synth_100M_u8_ratio=1.dat,-1,10,8,c,100000000,None,100.0
Delta -22,100000006,4751.29,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=1.dat,6155.69,/synthetic/synth_100M_u8_ratio=1.dat,-1,10,8,c,100000000,None,100.0
Delta -23,100000006,4820.9,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=1.dat,6187.52,/synthetic/synth_100M_u8_ratio=1.dat,-1,10,8,c,100000000,None,100.0
Delta -24,100000006,4612.59,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=1.dat,6006.71,/synthetic/synth_100M_u8_ratio=1.dat,-1,10,8,c,100000000,None,100.0
Delta -25,100000006,5171.46,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=1.dat,6401.04,/synthetic/synth_100M_u8_ratio=1.dat,-1,10,8,c,100000000,None,100.0
Delta -26,100000006,5481.98,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=1.dat,6370.53,/synthetic/synth_100M_u8_ratio=1.dat,-1,10,8,c,100000000,None,100.0
Delta -27,100000006,5599.86,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=1.dat,6214.64,/synthetic/synth_100M_u8_ratio=1.dat,-1,10,8,c,100000000,None,100.0
Delta -28,100000006,5041.24,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=1.dat,6416.64,/synthetic/synth_100M_u8_ratio=1.dat,-1,10,8,c,100000000,None,100.0
Delta -29,100000006,5322.88,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=1.dat,6352.54,/synthetic/synth_100M_u8_ratio=1.dat,-1,10,8,c,100000000,None,100.0
Delta -30,100000006,6451.7,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=1.dat,6446.61,/synthetic/synth_100M_u8_ratio=1.dat,-1,10,8,c,100000000,None,100.0
Delta -31,100000006,5243.24,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=1.dat,6265.83,/synthetic/synth_100M_u8_ratio=1.dat,-1,10,8,c,100000000,None,100.0
Delta -32,100000006,5140.93,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=1.dat,6033.25,/synthetic/synth_100M_u8_ratio=1.dat,-1,10,8,c,100000000,None,100.0
Delta -33,100000006,5859.79,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=1.dat,6401.74,/synthetic/synth_100M_u8_ratio=1.dat,-1,10,8,c,100000000,None,100.0
Delta -34,100000006,4881.96,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=1.dat,6338.84,/synthetic/synth_100M_u8_ratio=1.dat,-1,10,8,c,100000000,None,100.0
Delta -35,100000006,5373.46,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=1.dat,5927.68,/synthetic/synth_100M_u8_ratio=1.dat,-1,10,8,c,100000000,None,100.0
Delta -36,100000006,6106.05,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=1.dat,6209.06,/synthetic/synth_100M_u8_ratio=1.dat,-1,10,8,c,100000000,None,100.0
Delta -37,100000006,5257.6,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=1.dat,6550.12,/synthetic/synth_100M_u8_ratio=1.dat,-1,10,8,c,100000000,None,100.0
Delta -38,100000006,5874.8,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=1.dat,6497.72,/synthetic/synth_100M_u8_ratio=1.dat,-1,10,8,c,100000000,None,100.0
Delta -39,100000006,6445.12,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=1.dat,6495.8,/synthetic/synth_100M_u8_ratio=1.dat,-1,10,8,c,100000000,None,100.0
DoubleDelta -20,100000006,5456.32,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=1.dat,5895.33,/synthetic/synth_100M_u8_ratio=1.dat,-1,10,8,c,100000000,None,100.0
DoubleDelta -21,100000006,5194.48,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=1.dat,6012.05,/synthetic/synth_100M_u8_ratio=1.dat,-1,10,8,c,100000000,None,100.0
