Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Order,Original size,Preprocs,Ratio
Memcpy,450780,4767.18,ucr,5581.65,/colmajor/uint8-as-uint32/ucr/DiatomSizeReduction.dat,1,0,8,f,450780,None,100.0
SIMDBP128,126824,853.53,ucr,2964.27,/colmajor/uint8-as-uint32/ucr/DiatomSizeReduction.dat,1,0,8,f,450780,None,28.13
FastPFOR,126808,901.33,ucr,2329.19,/colmajor/uint8-as-uint32/ucr/DiatomSizeReduction.dat,1,0,8,f,450780,None,28.13
Simple8B,118100,1000.38,ucr,1795.24,/colmajor/uint8-as-uint32/ucr/DiatomSizeReduction.dat,1,0,8,f,450780,None,26.2
SIMDBP128,127388,2707.8,ucr,3176.67,/colmajor/uint8-as-uint32/ucr/MoteStrain.dat,1,0,8,f,452812,None,28.13
FastPFOR,127372,915.16,ucr,1944.63,/colmajor/uint8-as-uint32/ucr/MoteStrain.dat,1,0,8,f,452812,None,28.13
Simple8B,126740,1165.45,ucr,2199.72,/colmajor/uint8-as-uint32/ucr/MoteStrain.dat,1,0,8,f,452812,None,27.99
SIMDBP128,1135432,3550.49,ucr,3664.5,/colmajor/uint8-as-uint32/ucr/wafer.dat,1,0,8,f,4498972,None,25.24
FastPFOR,1117608,1050.43,ucr,3044.11,/colmajor/uint8-as-uint32/ucr/wafer.dat,1,0,8,f,4498972,None,24.84
Simple8B,1014856,835.17,ucr,2007.38,/colmajor/uint8-as-uint32/ucr/wafer.dat,1,0,8,f,4498972,None,22.56
SIMDBP128,259344,3531.7,ucr,4106.04,/colmajor/uint8-as-uint32/ucr/Worms.dat,1,0,8,f,933940,None,27.77
FastPFOR,260640,950.74,ucr,2729.45,/colmajor/uint8-as-uint32/ucr/Worms.dat,1,0,8,f,933940,None,27.91
Simple8B,258500,1149.34,ucr,2129.38,/colmajor/uint8-as-uint32/ucr/Worms.dat,1,0,8,f,933940,None,27.68
SIMDBP128,85236,3504.6,ucr,4063.69,/colmajor/uint8-as-uint32/ucr/ProximalPhalanxOutlineCorrect.dat,1,0,8,f,302920,None,28.14
FastPFOR,85244,1219.17,ucr,2995.95,/colmajor/uint8-as-uint32/ucr/ProximalPhalanxOutlineCorrect.dat,1,0,8,f,302920,None,28.14
Simple8B,80064,1198.34,ucr,2634.29,/colmajor/uint8-as-uint32/ucr/ProximalPhalanxOutlineCorrect.dat,1,0,8,f,302920,None,26.43
SIMDBP128,35220,2024.98,ucr,4256.17,/colmajor/uint8-as-uint32/ucr/Plane.dat,1,0,8,f,125140,None,28.14
FastPFOR,35204,1261.56,ucr,3104.9,/colmajor/uint8-as-uint32/ucr/Plane.dat,1,0,8,f,125140,None,28.13
Simple8B,34012,864.23,ucr,1521.68,/colmajor/uint8-as-uint32/ucr/Plane.dat,1,0,8,f,125140,None,27.18
SIMDBP128,83804,2852.85,ucr,3333.37,/colmajor/uint8-as-uint32/ucr/DistalPhalanxOutlineCorrect.dat,1,0,8,f,297820,None,28.14
FastPFOR,83820,973.03,ucr,2145.17,/colmajor/uint8-as-uint32/ucr/DistalPhalanxOutlineCorrect.dat,1,0,8,f,297820,None,28.14
Simple8B,81260,841.78,ucr,1898.03,/colmajor/uint8-as-uint32/ucr/DistalPhalanxOutlineCorrect.dat,1,0,8,f,297820,None,27.28
SIMDBP128,85080,2850.69,ucr,3186.87,/colmajor/uint8-as-uint32/ucr/ToeSegmentation1.dat,1,0,8,f,302284,None,28.15
FastPFOR,85064,885.41,ucr,2142.96,/colmajor/uint8-as-uint32/ucr/ToeSegmentation1.dat,1,0,8,f,302284,None,28.14
Simple8B,87928,1043.77,ucr,2070.31,/colmajor/uint8-as-uint32/ucr/ToeSegmentation1.dat,1,0,8,f,302284,None,29.09
SIMDBP128,271136,2941.53,ucr,3485.68,/colmajor/uint8-as-uint32/ucr/WordsSynonyms.dat,1,0,8,f,995480,None,27.24
FastPFOR,270704,628.06,ucr,2305.31,/colmajor/uint8-as-uint32/ucr/WordsSynonyms.dat,1,0,8,f,995480,None,27.19
Simple8B,247380,1066.35,ucr,1826.95,/colmajor/uint8-as-uint32/ucr/WordsSynonyms.dat,1,0,8,f,995480,None,24.85
SIMDBP128,1889808,4233.61,ucr,3746.06,/colmajor/uint8-as-uint32/ucr/ElectricDevices.dat,1,0,8,f,6721328,None,28.12
FastPFOR,1831244,754.51,ucr,2522.11,/colmajor/uint8-as-uint32/ucr/ElectricDevices.dat,1,0,8,f,6721328,None,27.25
Simple8B,1853808,1460.83,ucr,2655.18,/colmajor/uint8-as-uint32/ucr/ElectricDevices.dat,1,0,8,f,6721328,None,27.58
SIMDBP128,18340,3495.55,ucr,2467.4,/colmajor/uint8-as-uint32/ucr/Coffee.dat,1,0,8,f,65164,None,28.14
FastPFOR,18404,955.34,ucr,2442.7,/colmajor/uint8-as-uint32/ucr/Coffee.dat,1,0,8,f,65164,None,28.24
Simple8B,17520,990.39,ucr,1856.31,/colmajor/uint8-as-uint32/ucr/Coffee.dat,1,0,8,f,65164,None,26.89
SIMDBP128,64472,2645.1,ucr,3231.27,/colmajor/uint8-as-uint32/ucr/ToeSegmentation2.dat,1,0,8,f,231052,None,27.9
FastPFOR,64288,729.09,ucr,2204.74,/colmajor/uint8-as-uint32/ucr/ToeSegmentation2.dat,1,0,8,f,231052,None,27.82
Simple8B,61120,1037.97,ucr,1867.87,/colmajor/uint8-as-uint32/ucr/ToeSegmentation2.dat,1,0,8,f,231052,None,26.45
SIMDBP128,571412,3240.33,ucr,4062.06,/colmajor/uint8-as-uint32/ucr/Haptics.dat,1,0,8,f,2031624,None,28.13
FastPFOR,571396,994.94,ucr,0.0,/colmajor/uint8-as-uint32/ucr/Haptics.dat,1,0,8,f,2031624,None,28.13
Simple8B,595212,1245.39,ucr,2956.48,/colmajor/uint8-as-uint32/ucr/Haptics.dat,1,0,8,f,2031624,None,29.3
SIMDBP128,9574832,3892.4,ucr,4624.15,/colmajor/uint8-as-uint32/ucr/StarLightCurves.dat,1,0,8,f,38015356,None,25.19
FastPFOR,9739856,1195.66,ucr,3319.3,/colmajor/uint8-as-uint32/ucr/StarLightCurves.dat,1,0,8,f,38015356,None,25.62
Simple8B,9325988,1784.1,ucr,3130.66,/colmajor/uint8-as-uint32/ucr/StarLightCurves.dat,1,0,8,f,38015356,None,24.53
SIMDBP128,511780,3362.09,ucr,3745.65,/colmajor/uint8-as-uint32/ucr/ScreenType.dat,1,0,8,f,2174980,None,23.53
FastPFOR,514148,763.83,ucr,2470.51,/colmajor/uint8-as-uint32/ucr/ScreenType.dat,1,0,8,f,2174980,None,23.64
Simple8B,477740,1208.55,ucr,2091.03,/colmajor/uint8-as-uint32/ucr/ScreenType.dat,1,0,8,f,2174980,None,21.97
